model_type,BERT_base_adapter_inf,0,0,0,0,0,0,0
128,768,768,32,128,32,0,0,"adapter 1-1,"
128,32,32,768,128,768,0,0,"adapter 1-2,"
128,768,768,32,128,32,0,0,"adapter 2-1,"
128,32,32,768,128,768,0,0,"adapter 2-2,"
128,768,768,32,128,32,0,0,"adapter 1-1,"
128,32,32,768,128,768,0,0,"adapter 1-2,"
128,768,768,32,128,32,0,0,"adapter 2-1,"
128,32,32,768,128,768,0,0,"adapter 2-2,"
128,768,768,32,128,32,0,0,"adapter 1-1,"
128,32,32,768,128,768,0,0,"adapter 1-2,"
128,768,768,32,128,32,0,0,"adapter 2-1,"
128,32,32,768,128,768,0,0,"adapter 2-2,"
128,768,768,32,128,32,0,0,"adapter 1-1,"
128,32,32,768,128,768,0,0,"adapter 1-2,"
128,768,768,32,128,32,0,0,"adapter 2-1,"
128,32,32,768,128,768,0,0,"adapter 2-2,"
128,768,768,32,128,32,0,0,"adapter 1-1,"
128,32,32,768,128,768,0,0,"adapter 1-2,"
128,768,768,32,128,32,0,0,"adapter 2-1,"
128,32,32,768,128,768,0,0,"adapter 2-2,"
128,768,768,32,128,32,0,0,"adapter 1-1,"
128,32,32,768,128,768,0,0,"adapter 1-2,"
128,768,768,32,128,32,0,0,"adapter 2-1,"
128,32,32,768,128,768,0,0,"adapter 2-2,"
128,768,768,32,128,32,0,0,"adapter 1-1,"
128,32,32,768,128,768,0,0,"adapter 1-2,"
128,768,768,32,128,32,0,0,"adapter 2-1,"
128,32,32,768,128,768,0,0,"adapter 2-2,"
128,768,768,32,128,32,0,0,"adapter 1-1,"
128,32,32,768,128,768,0,0,"adapter 1-2,"
128,768,768,32,128,32,0,0,"adapter 2-1,"
128,32,32,768,128,768,0,0,"adapter 2-2,"
128,768,768,32,128,32,0,0,"adapter 1-1,"
128,32,32,768,128,768,0,0,"adapter 1-2,"
128,768,768,32,128,32,0,0,"adapter 2-1,"
128,32,32,768,128,768,0,0,"adapter 2-2,"
128,768,768,32,128,32,0,0,"adapter 1-1,"
128,32,32,768,128,768,0,0,"adapter 1-2,"
128,768,768,32,128,32,0,0,"adapter 2-1,"
128,32,32,768,128,768,0,0,"adapter 2-2,"
128,768,768,32,128,32,0,0,"adapter 1-1,"
128,32,32,768,128,768,0,0,"adapter 1-2,"
128,768,768,32,128,32,0,0,"adapter 2-1,"
128,32,32,768,128,768,0,0,"adapter 2-2,"
128,768,768,32,128,32,0,0,"adapter 1-1,"
128,32,32,768,128,768,0,0,"adapter 1-2,"
128,768,768,32,128,32,0,0,"adapter 2-1,"
128,32,32,768,128,768,0,0,"adapter 2-2,"
128,768,768,2,128,2,0,1,"output weight projection,"
