model_type,BERT_base_adapter_inf,0,0,0,0,0,0,0
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"head concat,"
128,768,768,3072,128,3072,0,0,"ff1,"
128,3072,3072,768,128,768,0,0,"ff2,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"head concat,"
128,768,768,3072,128,3072,0,0,"ff1,"
128,3072,3072,768,128,768,0,0,"ff2,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"head concat,"
128,768,768,3072,128,3072,0,0,"ff1,"
128,3072,3072,768,128,768,0,0,"ff2,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"head concat,"
128,768,768,3072,128,3072,0,0,"ff1,"
128,3072,3072,768,128,768,0,0,"ff2,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"head concat,"
128,768,768,3072,128,3072,0,0,"ff1,"
128,3072,3072,768,128,768,0,0,"ff2,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"head concat,"
128,768,768,3072,128,3072,0,0,"ff1,"
128,3072,3072,768,128,768,0,0,"ff2,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"head concat,"
128,768,768,3072,128,3072,0,0,"ff1,"
128,3072,3072,768,128,768,0,0,"ff2,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"head concat,"
128,768,768,3072,128,3072,0,0,"ff1,"
128,3072,3072,768,128,768,0,0,"ff2,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"head concat,"
128,768,768,3072,128,3072,0,0,"ff1,"
128,3072,3072,768,128,768,0,0,"ff2,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"head concat,"
128,768,768,3072,128,3072,0,0,"ff1,"
128,3072,3072,768,128,768,0,0,"ff2,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"head concat,"
128,768,768,3072,128,3072,0,0,"ff1,"
128,3072,3072,768,128,768,0,0,"ff2,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"K,Q,V projection,"
128,768,768,768,128,768,0,0,"head concat,"
128,768,768,3072,128,3072,0,0,"ff1,"
128,3072,3072,768,128,768,0,0,"ff2,"
