model_type,BERT_small_adapter_inf,0,0,0,0,0,0,0
128,512,512,512,128,512,0,0,"K,Q,V projection,"
128,512,512,512,128,512,0,0,"K,Q,V projection,"
128,512,512,512,128,512,0,0,"K,Q,V projection,"
128,128,128,128,128,128,1,1,"K.Q,"
128,128,128,128,128,128,1,0,"KQT softmax * V,"
128,128,128,128,128,128,1,1,"K.Q,"
128,128,128,128,128,128,1,0,"KQT softmax * V,"
128,128,128,128,128,128,1,1,"K.Q,"
128,128,128,128,128,128,1,0,"KQT softmax * V,"
128,128,128,128,128,128,1,1,"K.Q,"
128,128,128,128,128,128,1,0,"KQT softmax * V,"
128,512,512,512,128,512,0,0,"head concat,"
128,512,512,32,128,32,0,0,"adapter 1-1,"
128,32,32,512,128,512,0,0,"adapter 1-2,"
128,512,512,2048,128,2048,0,0,"ff1,"
128,2048,2048,512,128,512,0,0,"ff2,"
128,512,512,32,128,32,0,0,"adapter 2-1,"
128,32,32,512,128,512,0,0,"adapter 2-2,"
128,512,512,512,128,512,0,0,"K,Q,V projection,"
128,512,512,512,128,512,0,0,"K,Q,V projection,"
128,512,512,512,128,512,0,0,"K,Q,V projection,"
128,128,128,128,128,128,1,1,"K.Q,"
128,128,128,128,128,128,1,0,"KQT softmax * V,"
128,128,128,128,128,128,1,1,"K.Q,"
128,128,128,128,128,128,1,0,"KQT softmax * V,"
128,128,128,128,128,128,1,1,"K.Q,"
128,128,128,128,128,128,1,0,"KQT softmax * V,"
128,128,128,128,128,128,1,1,"K.Q,"
128,128,128,128,128,128,1,0,"KQT softmax * V,"
128,512,512,512,128,512,0,0,"head concat,"
128,512,512,32,128,32,0,0,"adapter 1-1,"
128,32,32,512,128,512,0,0,"adapter 1-2,"
128,512,512,2048,128,2048,0,0,"ff1,"
128,2048,2048,512,128,512,0,0,"ff2,"
128,512,512,32,128,32,0,0,"adapter 2-1,"
128,32,32,512,128,512,0,0,"adapter 2-2,"
128,512,512,512,128,512,0,0,"K,Q,V projection,"
128,512,512,512,128,512,0,0,"K,Q,V projection,"
128,512,512,512,128,512,0,0,"K,Q,V projection,"
128,128,128,128,128,128,1,1,"K.Q,"
128,128,128,128,128,128,1,0,"KQT softmax * V,"
128,128,128,128,128,128,1,1,"K.Q,"
128,128,128,128,128,128,1,0,"KQT softmax * V,"
128,128,128,128,128,128,1,1,"K.Q,"
128,128,128,128,128,128,1,0,"KQT softmax * V,"
128,128,128,128,128,128,1,1,"K.Q,"
128,128,128,128,128,128,1,0,"KQT softmax * V,"
128,512,512,512,128,512,0,0,"head concat,"
128,512,512,32,128,32,0,0,"adapter 1-1,"
128,32,32,512,128,512,0,0,"adapter 1-2,"
128,512,512,2048,128,2048,0,0,"ff1,"
128,2048,2048,512,128,512,0,0,"ff2,"
128,512,512,32,128,32,0,0,"adapter 2-1,"
128,32,32,512,128,512,0,0,"adapter 2-2,"
128,512,512,512,128,512,0,0,"K,Q,V projection,"
128,512,512,512,128,512,0,0,"K,Q,V projection,"
128,512,512,512,128,512,0,0,"K,Q,V projection,"
128,128,128,128,128,128,1,1,"K.Q,"
128,128,128,128,128,128,1,0,"KQT softmax * V,"
128,128,128,128,128,128,1,1,"K.Q,"
128,128,128,128,128,128,1,0,"KQT softmax * V,"
128,128,128,128,128,128,1,1,"K.Q,"
128,128,128,128,128,128,1,0,"KQT softmax * V,"
128,128,128,128,128,128,1,1,"K.Q,"
128,128,128,128,128,128,1,0,"KQT softmax * V,"
128,512,512,512,128,512,0,0,"head concat,"
128,512,512,32,128,32,0,0,"adapter 1-1,"
128,32,32,512,128,512,0,0,"adapter 1-2,"
128,512,512,2048,128,2048,0,0,"ff1,"
128,2048,2048,512,128,512,0,0,"ff2,"
128,512,512,32,128,32,0,0,"adapter 2-1,"
128,32,32,512,128,512,0,0,"adapter 2-2,"
128,512,512,2,128,2,0,1,"output weight projection,"
