model_type,Gpt2_inf,0,0,0,0,0,0,0
128,768,768,768,1,768,0,0,"K, V projection,"
1,768,768,768,1,768,0,0,"Q projection,"
128,768,768,768,1,768,0,0,"K, V projection,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,768,768,3072,1,3072,0,0,"ff1,"
1,3072,3072,768,1,768,0,0,"ff2,"
128,768,768,768,1,768,0,0,"K, V projection,"
1,768,768,768,1,768,0,0,"Q projection,"
128,768,768,768,1,768,0,0,"K, V projection,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,768,768,3072,1,3072,0,0,"ff1,"
1,3072,3072,768,1,768,0,0,"ff2,"
128,768,768,768,1,768,0,0,"K, V projection,"
1,768,768,768,1,768,0,0,"Q projection,"
128,768,768,768,1,768,0,0,"K, V projection,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,768,768,3072,1,3072,0,0,"ff1,"
1,3072,3072,768,1,768,0,0,"ff2,"
128,768,768,768,1,768,0,0,"K, V projection,"
1,768,768,768,1,768,0,0,"Q projection,"
128,768,768,768,1,768,0,0,"K, V projection,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
