model_type,Gpt2_inf_new,0,0,0,0,0,0,0
1,768,768,768,1,768,0,0,"K, V projection,"
1,768,768,768,1,768,0,0,"Q projection,"
1,768,768,768,1,768,0,0,"K, V projection,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,768,768,768,1,768,0,0,"head contact,"
1,768,768,3072,1,3072,0,0,"ff1,"
1,3072,3072,768,1,768,0,0,"ff2,"
1,768,768,768,1,768,0,0,"K, V projection,"
1,768,768,768,1,768,0,0,"Q projection,"
1,768,768,768,1,768,0,0,"K, V projection,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
1,64,64,128,1,128,1,1,"K.Q,"
1,128,128,64,1,64,1,0,"KQT softmax * V,"
