model_type,Transformer_adapter_inf,0,0,0,0,0,0,0
16,768,768,768,16,768,0,0,"K,Q,V projection,"
16,768,768,768,16,768,0,0,"K,Q,V projection,"
16,768,768,768,16,768,0,0,"K,Q,V projection,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,768,768,768,16,768,0,0,"head contact,"
16,768,768,32,16,32,0,0,"adapter 1-1,"
16,32,32,768,16,768,0,0,"adapter 1-2,"
16,768,768,3072,16,3072,0,0,"ff1,"
16,3072,3072,768,16,768,0,0,"ff2,"
16,768,768,32,16,32,0,0,"adapter 2-1,"
16,32,32,768,16,768,0,0,"adapter 2-2,"
16,768,768,768,16,768,0,0,"K,Q,V projection,"
16,768,768,768,16,768,0,0,"K,Q,V projection,"
16,768,768,768,16,768,0,0,"K,Q,V projection,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,768,768,768,16,768,0,0,"head contact,"
16,768,768,32,16,32,0,0,"adapter 1-1,"
16,32,32,768,16,768,0,0,"adapter 1-2,"
16,768,768,3072,16,3072,0,0,"ff1,"
16,3072,3072,768,16,768,0,0,"ff2,"
16,768,768,32,16,32,0,0,"adapter 2-1,"
16,32,32,768,16,768,0,0,"adapter 2-2,"
16,768,768,768,16,768,0,0,"K,Q,V projection,"
16,768,768,768,16,768,0,0,"K,Q,V projection,"
16,768,768,768,16,768,0,0,"K,Q,V projection,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,64,64,16,16,16,1,1,"K.Q,"
16,16,16,64,16,64,1,0,"KQT softmax * V,"
16,768,768,768,16,768,0,0,"head contact,"
16,768,768,32,16,32,0,0,"adapter 1-1,"
16,32,32,768,16,768,0,0,"adapter 1-2,"
16,768,768,3072,16,3072,0,0,"ff1,"
16,3072,3072,768,16,768,0,0,"ff2,"
16,768,768,32,16,32,0,0,"adapter 2-1,"
16,32,32,768,16,768,0,0,"adapter 2-2,"
16,768,768,32,16,32,0,1,"output weight projection,"
