model_type,Transformer_ft,0,0,0,0,0,0,0
16,768,768,768,16,768,1,0,"FP:K,Q,V projection,"
16,768,768,768,16,768,1,0,"FP:K,Q,V projection,"
16,768,768,768,16,768,1,0,"FP:K,Q,V projection,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,768,768,768,16,768,1,0,"FP:head concat,"
16,768,768,3072,16,3072,1,0,"FP:ff1,"
16,3072,3072,768,16,768,1,0,"FP:ff2,"
16,768,768,768,16,768,1,0,"FP:K,Q,V projection,"
16,768,768,768,16,768,1,0,"FP:K,Q,V projection,"
16,768,768,768,16,768,1,0,"FP:K,Q,V projection,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,768,768,768,16,768,1,0,"FP:head concat,"
16,768,768,3072,16,3072,1,0,"FP:ff1,"
16,3072,3072,768,16,768,1,0,"FP:ff2,"
16,768,768,768,16,768,1,0,"FP:K,Q,V projection,"
16,768,768,768,16,768,1,0,"FP:K,Q,V projection,"
16,768,768,768,16,768,1,0,"FP:K,Q,V projection,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,64,64,16,16,16,1,1,"FP:K.Q,"
16,16,16,64,16,64,1,0,"FP:KQT softmax * V,"
16,768,768,768,16,768,1,0,"FP:head concat,"
16,768,768,3072,16,3072,1,0,"FP:ff1,"
16,3072,3072,768,16,768,1,0,"FP:ff2,"
16,768,768,32,16,32,1,1,"FP:output weight projection,"
32,16,16,768,32,768,1,0,"W Gradient:weight_outputProjection,"
16,32,32,768,16,768,1,0,"BP:weight_outputProjection,"
16,768,768,3072,16,3072,1,0,"BP:weight_ff2,"
768,16,16,3072,768,3072,1,0,"W Gradient:weight_ff2,"
16,3072,3072,768,16,768,1,0,"BP:weight_ff1,"
3072,16,16,768,3072,768,1,0,"W Gradient:weight_ff1,"
16,768,768,768,16,768,1,0,"BP:weight_headConcat,"
768,16,16,768,768,768,1,0,"W Gradient:weight_headConcat,"
16,64,64,16,16,16,1,0,"BP:V,"
64,16,16,16,64,16,1,0,"BP:A,"
16,16,16,64,16,64,1,0,"BP:K,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
64,16,16,16,64,16,1,0,"BP:A,"
16,16,16,64,16,64,1,0,"BP:K,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
64,16,16,16,64,16,1,0,"BP:A,"
16,16,16,64,16,64,1,0,"BP:K,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
64,16,16,16,64,16,1,0,"BP:A,"
16,16,16,64,16,64,1,0,"BP:K,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
64,16,16,16,64,16,1,0,"BP:A,"
16,16,16,64,16,64,1,0,"BP:K,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
64,16,16,16,64,16,1,0,"BP:A,"
16,16,16,64,16,64,1,0,"BP:K,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
64,16,16,16,64,16,1,0,"BP:A,"
16,16,16,64,16,64,1,0,"BP:K,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
64,16,16,16,64,16,1,0,"BP:A,"
16,16,16,64,16,64,1,0,"BP:K,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
64,16,16,16,64,16,1,0,"BP:A,"
16,16,16,64,16,64,1,0,"BP:K,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
64,16,16,16,64,16,1,0,"BP:A,"
16,16,16,64,16,64,1,0,"BP:K,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
64,16,16,16,64,16,1,0,"BP:A,"
16,16,16,64,16,64,1,0,"BP:K,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
64,16,16,16,64,16,1,0,"BP:A,"
16,16,16,64,16,64,1,0,"BP:K,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,768,768,768,16,768,1,0,"BP:weight_vProjection,"
768,16,16,768,768,768,1,0,"W Gradient:weight_vProjection,"
16,768,768,768,16,768,1,0,"BP:weight_qProjection,"
768,16,16,768,768,768,1,0,"W Gradient:weight_qProjection,"
16,768,768,768,16,768,1,0,"BP:weight_kProjection,"
768,16,16,768,768,768,1,0,"W Gradient:weight_kProjection,"
16,768,768,3072,16,3072,1,0,"BP:weight_ff2,"
768,16,16,3072,768,3072,1,0,"W Gradient:weight_ff2,"
16,3072,3072,768,16,768,1,0,"BP:weight_ff1,"
3072,16,16,768,3072,768,1,0,"W Gradient:weight_ff1,"
16,768,768,768,16,768,1,0,"BP:weight_headConcat,"
768,16,16,768,768,768,1,0,"W Gradient:weight_headConcat,"
16,64,64,16,16,16,1,0,"BP:V,"
64,16,16,16,64,16,1,0,"BP:A,"
16,16,16,64,16,64,1,0,"BP:K,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
64,16,16,16,64,16,1,0,"BP:A,"
16,16,16,64,16,64,1,0,"BP:K,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
64,16,16,16,64,16,1,0,"BP:A,"
16,16,16,64,16,64,1,0,"BP:K,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
64,16,16,16,64,16,1,0,"BP:A,"
16,16,16,64,16,64,1,0,"BP:K,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
64,16,16,16,64,16,1,0,"BP:A,"
16,16,16,64,16,64,1,0,"BP:K,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
64,16,16,16,64,16,1,0,"BP:A,"
16,16,16,64,16,64,1,0,"BP:K,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
64,16,16,16,64,16,1,0,"BP:A,"
16,16,16,64,16,64,1,0,"BP:K,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
64,16,16,16,64,16,1,0,"BP:A,"
16,16,16,64,16,64,1,0,"BP:K,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
